,sparse_lemma,sparse_stem,w2v_lemma_cbow_w10_d1000,w2v_lemma_cbow_w10_d300,w2v_lemma_cbow_w4_d1000,w2v_lemma_cbow_w4_d300,w2v_lemma_skipgram_w10_d1000,w2v_lemma_skipgram_w10_d300,w2v_lemma_skipgram_w4_d1000,w2v_lemma_skipgram_w4_d300,w2v_stem_cbow_w10_d1000,w2v_stem_cbow_w10_d300,w2v_stem_cbow_w4_d1000,w2v_stem_cbow_w4_d300,w2v_stem_skipgram_w10_d1000,w2v_stem_skipgram_w10_d300,w2v_stem_skipgram_w4_d1000,w2v_stem_skipgram_w4_d300
sparse_lemma,1.0,1.0,0.0,0.0,0.0,0.0,0.11,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sparse_stem,1.0,1.0,0.0,0.0,0.0,0.0,0.11,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
w2v_lemma_cbow_w10_d1000,0.0,0.0,1.0,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0
w2v_lemma_cbow_w10_d300,0.0,0.0,0.11,1.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
w2v_lemma_cbow_w4_d1000,0.0,0.0,0.11,0.0,1.0,0.43,0.0,0.0,0.0,0.0,0.11,0.0,0.11,0.0,0.0,0.0,0.11,0.0
w2v_lemma_cbow_w4_d300,0.0,0.0,0.11,0.11,0.43,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0
w2v_lemma_skipgram_w10_d1000,0.11,0.11,0.0,0.0,0.0,0.0,1.0,0.43,0.25,0.43,0.11,0.11,0.11,0.11,0.25,0.11,0.25,0.11
w2v_lemma_skipgram_w10_d300,0.11,0.11,0.0,0.0,0.0,0.0,0.43,1.0,0.25,0.43,0.11,0.11,0.11,0.11,0.25,0.11,0.25,0.11
w2v_lemma_skipgram_w4_d1000,0.11,0.11,0.0,0.0,0.0,0.0,0.25,0.25,1.0,0.43,0.11,0.11,0.11,0.11,0.11,0.0,0.11,0.11
w2v_lemma_skipgram_w4_d300,0.11,0.11,0.0,0.0,0.0,0.0,0.43,0.43,0.43,1.0,0.11,0.11,0.11,0.11,0.25,0.11,0.25,0.11
w2v_stem_cbow_w10_d1000,0.0,0.0,0.0,0.0,0.11,0.0,0.11,0.11,0.11,0.11,1.0,0.43,0.43,0.43,0.11,0.0,0.11,0.11
w2v_stem_cbow_w10_d300,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.11,0.11,0.11,0.43,1.0,0.25,0.43,0.11,0.0,0.11,0.11
w2v_stem_cbow_w4_d1000,0.0,0.0,0.0,0.0,0.11,0.0,0.11,0.11,0.11,0.11,0.43,0.25,1.0,0.67,0.11,0.0,0.11,0.11
w2v_stem_cbow_w4_d300,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.11,0.11,0.11,0.43,0.43,0.67,1.0,0.11,0.0,0.11,0.11
w2v_stem_skipgram_w10_d1000,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.11,0.25,0.11,0.11,0.11,0.11,1.0,0.67,0.25,0.25
w2v_stem_skipgram_w10_d300,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.11,0.0,0.11,0.0,0.0,0.0,0.0,0.67,1.0,0.11,0.25
w2v_stem_skipgram_w4_d1000,0.0,0.0,0.11,0.0,0.11,0.11,0.25,0.25,0.11,0.25,0.11,0.11,0.11,0.11,0.25,0.11,1.0,0.25
w2v_stem_skipgram_w4_d300,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.25,0.25,0.25,1.0
